"DATES","DEPARTMENT","TEAM","SMV","WIP","OVER_TIME","INCENTIVE","IDLE_TIME","IDLE_MEN","NO_OF_STYLE_CHANGE","NO_OF_WORKERS","RATIO"
"01/01/2015","sweing",8,26.16,1108,7080,98,0,0,0,59,1.1759
"01/01/2015","finishing",1,3.94,0,960,0,0,0,0,8,1.182
"01/01/2015","sweing",11,11.41,968,3660,50,0,0,0,30.5,1.0007
"01/01/2015","sweing",12,11.41,968,3660,50,0,0,0,30.5,1.0007
"01/01/2015","sweing",6,25.9,1170,1920,50,0,0,0,56,1.0005
"01/01/2015","sweing",7,25.9,984,6720,38,0,0,0,56,1.0002
"01/01/2015","finishing",2,3.94,0,960,0,0,0,0,8,1.0069
"01/01/2015","sweing",3,28.08,795,6900,45,0,0,0,57.5,1.0049
"01/01/2015","sweing",2,19.87,733,6000,34,0,0,0,55,1.0041
"01/01/2015","sweing",1,28.08,681,6900,45,0,0,0,57.5,1.0006
"01/01/2015","sweing",9,28.08,872,6900,44,0,0,0,57.5,1.0302
"01/01/2015","sweing",10,19.31,578,6480,45,0,0,0,54,0.9496
"01/01/2015","sweing",5,11.41,668,3660,50,0,0,0,30.5,0.8838
"01/01/2015","finishing",10,3.94,0,960,0,0,0,0,8,1.086
"01/01/2015","finishing",8,2.9,0,960,0,0,0,0,8,0.9022
"01/01/2015","finishing",4,3.94,0,2160,0,0,0,0,18,0.7907
"01/01/2015","finishing",7,2.9,0,960,0,0,0,0,8,0.6759
"01/01/2015","sweing",4,23.69,861,7200,0,0,0,0,60,0.8018
"01/01/2015","finishing",11,4.15,0,1440,0,0,0,0,12,0.6233
"03/01/2015","finishing",4,4.15,0,6600,0,0,0,0,20,1.235
"03/01/2015","finishing",11,2.9,0,5640,0,0,0,0,17,1.3172
"03/01/2015","finishing",9,4.15,0,960,0,0,0,0,8,1.1953
"03/01/2015","finishing",3,3.94,0,1560,0,0,0,0,8,1.2604
"03/01/2015","finishing",1,3.94,0,960,0,0,0,0,8,1.1286
"03/01/2015","sweing",1,28.08,772,6300,50,0,0,0,56.5,1.0009
"03/01/2015","sweing",3,28.08,913,6540,50,0,0,0,54.5,1.0004
"03/01/2015","sweing",8,26.16,1261,7080,50,0,0,0,59,1.0004
"03/01/2015","sweing",12,26.16,844,7080,63,0,0,0,59,1.0004
"03/01/2015","sweing",11,11.61,1005,7080,50,0,0,0,29.5,1.0003
"03/01/2015","sweing",5,11.61,659,7080,50,0,0,0,31.5,1.0002
"03/01/2015","sweing",6,25.9,1152,6720,50,0,0,0,56,1.0002
"03/01/2015","sweing",7,25.9,1138,6720,38,0,0,0,56,1.0002
"03/01/2015","sweing",10,19.31,610,6480,56,0,0,0,54,1.0497
"03/01/2015","finishing",2,4.15,0,960,0,0,0,0,8,0.9781
"03/01/2015","sweing",2,19.87,944,6600,45,0,0,0,55,1.0003
"03/01/2015","finishing",10,4.15,0,960,0,0,0,0,8,1.0026
"03/01/2015","sweing",4,23.69,544,13800,0,0,0,0,60,1.0002
"03/01/2015","sweing",9,28.08,1072,6900,40,0,0,0,57.5,1
"03/01/2015","finishing",8,2.9,0,960,0,0,0,0,8,0.7854
"03/01/2015","finishing",7,3.94,0,960,0,0,0,0,8,0.7816
"04/01/2015","finishing",3,4.15,0,1560,0,0,0,0,8,1.3219
"04/01/2015","finishing",9,3.94,0,960,0,0,0,0,8,1.1646
"04/01/2015","finishing",1,3.94,0,960,0,0,0,0,8,1.144
"04/01/2015","sweing",6,11.61,539,6975,50,0,0,0,31,1.0996
"04/01/2015","finishing",4,3.94,0,6600,0,0,0,0,20,1.0771
"04/01/2015","sweing",9,26.16,1278,7080,60,0,0,0,59,1.0632
"04/01/2015","sweing",7,25.9,1227,7020,60,0,0,0,56.5,1.063
"04/01/2015","sweing",8,25.9,1039,6780,45,0,0,0,56.5,1.0629
"04/01/2015","sweing",4,28.08,878,4260,50,0,0,0,55.5,1.0007
