"quarter","department","day","team","targeted_productivity","smv","idle_men","no_of_style_change","actual_productivity"
"Quarter1","sweing","Thursday",8,0.8,26.16,0,0,0.940725424
"Quarter1","finishing","Thursday",1,0.75,3.94,0,0,0.8865
"Quarter1","sweing","Thursday",11,0.8,11.41,0,0,0.800570492
"Quarter1","sweing","Thursday",12,0.8,11.41,0,0,0.800570492
"Quarter1","sweing","Thursday",6,0.8,25.9,0,0,0.800381944
"Quarter1","sweing","Thursday",7,0.8,25.9,0,0,0.800125
"Quarter1","finishing","Thursday",2,0.75,3.94,0,0,0.755166667
"Quarter1","sweing","Thursday",3,0.75,28.08,0,0,0.753683478
"Quarter1","sweing","Thursday",2,0.75,19.87,0,0,0.753097531
"Quarter1","sweing","Thursday",1,0.75,28.08,0,0,0.750427826
"Quarter1","sweing","Thursday",9,0.7,28.08,0,0,0.721126957
"Quarter1","sweing","Thursday",10,0.75,19.31,0,0,0.712205247
"Quarter1","sweing","Thursday",5,0.8,11.41,0,0,0.707045902
"Quarter1","finishing","Thursday",10,0.65,3.94,0,0,0.705916667
"Quarter1","finishing","Thursday",8,0.75,2.9,0,0,0.676666667
"Quarter1","finishing","Thursday",4,0.75,3.94,0,0,0.593055556
"Quarter1","finishing","Thursday",7,0.8,2.9,0,0,0.540729167
"Quarter1","sweing","Thursday",4,0.65,23.69,0,0,0.52118
"Quarter1","finishing","Thursday",11,0.7,4.15,0,0,0.436326389
"Quarter1","finishing","Saturday",4,0.8,4.15,0,0,0.988024691
"Quarter1","finishing","Saturday",11,0.75,2.9,0,0,0.987880435
"Quarter1","finishing","Saturday",9,0.8,4.15,0,0,0.956270833
"Quarter1","finishing","Saturday",3,0.75,3.94,0,0,0.945277778
"Quarter1","finishing","Saturday",1,0.8,3.94,0,0,0.902916667
"Quarter1","sweing","Saturday",1,0.8,28.08,0,0,0.800725314
"Quarter1","sweing","Saturday",3,0.8,28.08,0,0,0.800322936
"Quarter1","sweing","Saturday",8,0.8,26.16,0,0,0.800318644
"Quarter1","sweing","Saturday",12,0.8,26.16,0,0,0.800318644
"Quarter1","sweing","Saturday",11,0.8,11.61,0,0,0.800237288
"Quarter1","sweing","Saturday",5,0.8,11.61,0,0,0.800148649
"Quarter1","sweing","Saturday",6,0.8,25.9,0,0,0.800125
"Quarter1","sweing","Saturday",7,0.8,25.9,0,0,0.800125
"Quarter1","sweing","Saturday",10,0.75,19.31,0,0,0.787299691
"Quarter1","finishing","Saturday",2,0.8,4.15,0,0,0.782447917
"Quarter1","sweing","Saturday",2,0.75,19.87,0,0,0.75024303
"Quarter1","finishing","Saturday",10,0.7,4.15,0,0,0.7018125
"Quarter1","sweing","Saturday",4,0.7,23.69,0,0,0.700134038
"Quarter1","sweing","Saturday",9,0.7,28.08,0,0,0.699965217
"Quarter1","finishing","Saturday",8,0.8,2.9,0,0,0.628333333
"Quarter1","finishing","Saturday",7,0.8,3.94,0,0,0.6253125
"Quarter1","finishing","Sunday",3,0.75,4.15,0,0,0.991388889
"Quarter1","finishing","Sunday",9,0.8,3.94,0,0,0.931645833
"Quarter1","finishing","Sunday",1,0.8,3.94,0,0,0.915229167
"Quarter1","sweing","Sunday",6,0.8,11.61,0,0,0.879714482
"Quarter1","finishing","Sunday",4,0.8,3.94,0,0,0.861679012
"Quarter1","sweing","Sunday",9,0.8,26.16,0,0,0.850569492
"Quarter1","sweing","Sunday",7,0.8,25.9,0,0,0.850436438
"Quarter1","sweing","Sunday",8,0.8,25.9,0,0,0.850345133
