DEPARTMENT,TEAM,TARGETED_PRODUCTIVITY,SMV,WIP,OVER_TIME,INCENTIVE,IDLE_TIME,IDLE_MEN,NO_OF_STYLE_CHANGE,NO_OF_WORKERS,ACTUAL_PRODUCTIVITY
finishing,1,0.75,3.94,0,960,0,0,0,0,8.0,0.8865
sweing,1,0.75,28.08,681,6900,45,0,0,0,57.5,0.750427826
finishing,2,0.75,3.94,0,960,0,0,0,0,8.0,0.755166667
sweing,2,0.75,19.87,733,6000,34,0,0,0,55.0,0.753097531
sweing,3,0.75,28.08,795,6900,45,0,0,0,57.5,0.753683478
finishing,4,0.75,3.94,0,2160,0,0,0,0,18.0,0.593055556
sweing,4,0.65,23.69,861,7200,0,0,0,0,60.0,0.52118
sweing,5,0.8,11.41,668,3660,50,0,0,0,30.5,0.707045902
sweing,6,0.8,25.9,1170,1920,50,0,0,0,56.0,0.800381944
finishing,7,0.8,2.9,0,960,0,0,0,0,8.0,0.540729167
sweing,7,0.8,25.9,984,6720,38,0,0,0,56.0,0.800125
finishing,8,0.75,2.9,0,960,0,0,0,0,8.0,0.676666667
sweing,8,0.8,26.16,1108,7080,98,0,0,0,59.0,0.940725424
sweing,9,0.7,28.08,872,6900,44,0,0,0,57.5,0.721126957
finishing,10,0.65,3.94,0,960,0,0,0,0,8.0,0.705916667
sweing,10,0.75,19.31,578,6480,45,0,0,0,54.0,0.712205247
finishing,11,0.7,4.15,0,1440,0,0,0,0,12.0,0.436326389
sweing,11,0.8,11.41,968,3660,50,0,0,0,30.5,0.800570492
sweing,12,0.8,11.41,968,3660,50,0,0,0,30.5,0.800570492
finishing,1,0.8,3.94,0,960,0,0,0,0,8.0,0.902916667
sweing,1,0.8,28.08,772,6300,50,0,0,0,56.5,0.800725314
finishing,2,0.8,4.15,0,960,0,0,0,0,8.0,0.782447917
sweing,2,0.75,19.87,944,6600,45,0,0,0,55.0,0.75024303
finishing,3,0.75,3.94,0,1560,0,0,0,0,8.0,0.945277778
sweing,3,0.8,28.08,913,6540,50,0,0,0,54.5,0.800322936
finishing,4,0.8,4.15,0,6600,0,0,0,0,20.0,0.988024691
sweing,4,0.7,23.69,544,13800,0,0,0,0,60.0,0.700134038
sweing,5,0.8,11.61,659,7080,50,0,0,0,31.5,0.800148649
sweing,6,0.8,25.9,1152,6720,50,0,0,0,56.0,0.800125
finishing,7,0.8,3.94,0,960,0,0,0,0,8.0,0.6253125
sweing,7,0.8,25.9,1138,6720,38,0,0,0,56.0,0.800125
finishing,8,0.8,2.9,0,960,0,0,0,0,8.0,0.628333333
sweing,8,0.8,26.16,1261,7080,50,0,0,0,59.0,0.800318644
finishing,9,0.8,4.15,0,960,0,0,0,0,8.0,0.956270833
sweing,9,0.7,28.08,1072,6900,40,0,0,0,57.5,0.699965217
finishing,10,0.7,4.15,0,960,0,0,0,0,8.0,0.7018125
sweing,10,0.75,19.31,610,6480,56,0,0,0,54.0,0.787299691
finishing,11,0.75,2.9,0,5640,0,0,0,0,17.0,0.987880435
sweing,11,0.8,11.61,1005,7080,50,0,0,0,29.5,0.800237288
sweing,12,0.8,26.16,844,7080,63,0,0,0,59.0,0.800318644
finishing,1,0.8,3.94,0,960,0,0,0,0,8.0,0.915229167
sweing,1,0.8,26.16,1033,7080,63,0,0,0,59.0,0.800318644
finishing,2,0.8,3.94,0,960,0,0,0,0,8.0,0.792104167
sweing,2,0.8,28.08,782,6660,50,0,0,0,55.5,0.800237838
finishing,3,0.75,4.15,0,1560,0,0,0,0,8.0,0.991388889
sweing,3,0.75,19.87,734,6600,45,0,0,0,55.0,0.75024303
finishing,4,0.8,3.94,0,6600,0,0,0,0,20.0,0.861679012
sweing,4,0.8,28.08,878,4260,50,0,0,0,55.5,0.800598058
sweing,5,0.7,45.67,884,6960,26,0,0,0,58.0,0.603432184
sweing,6,0.8,11.61,539,6975,50,0,0,0,31.0,0.879714482
finishing,7,0.8,2.9,0,960,0,0,0,0,8.0,0.667604167
sweing,7,0.8,25.9,1227,7020,60,0,0,0,56.5,0.850436438
finishing,8,0.8,2.9,0,960,0,0,0,0,8.0,0.682708333
sweing,8,0.8,25.9,1039,6780,45,0,0,0,56.5,0.850345133
finishing,9,0.8,3.94,0,960,0,0,0,0,8.0,0.931645833
sweing,9,0.8,26.16,1278,7080,60,0,0,0,59.0,0.850569492
finishing,10,0.7,3.94,0,4320,0,0,0,0,18.0,0.759228395
sweing,10,0.7,28.08,1202,6900,40,0,0,0,57.5,0.699965217
finishing,11,0.75,4.15,0,960,0,0,0,0,8.0,0.345833333
sweing,11,0.75,19.31,513,6480,45,0,0,0,54.0,0.750348457
sweing,12,0.8,11.61,1216,6975,50,0,0,0,31.0,0.800030199
finishing,1,0.8,3.94,0,1920,0,0,0,0,8.0,0.961059028
sweing,1,0.8,26.16,1138,7080,63,0,0,0,59.0,0.800318644
finishing,2,0.8,3.94,0,960,0,0,0,0,8.0,0.804416667
sweing,2,0.8,28.08,757,6900,50,0,0,0,57.5,0.800076522
finishing,3,0.75,4.15,0,1920,0,0,0,0,8.0,0.875390625
sweing,3,0.75,19.87,944,6600,45,0,0,0,55.0,0.75024303
finishing,4,0.8,3.94,0,3840,0,0,0,0,16.0,0.893663194
sweing,4,0.8,28.08,759,6900,50,0,0,0,57.5,0.800076522
finishing,5,0.6,2.9,0,960,0,0,0,0,8.0,0.759270833
sweing,5,0.6,21.98,666,6960,23,0,0,0,58.0,0.600028736
sweing,6,0.8,11.61,712,7200,50,0,0,0,32.0,0.800246011
finishing,7,0.8,3.94,0,960,0,0,0,0,8.0,0.676666667
sweing,7,0.8,25.9,1255,6780,50,0,0,0,56.5,0.800684366
finishing,8,0.8,2.9,0,960,0,0,0,0,8.0,0.664583333
sweing,8,0.8,25.9,1047,6780,38,0,0,0,56.5,0.800684366
finishing,9,0.8,2.9,0,1920,0,0,0,0,8.0,0.820833333
sweing,9,0.8,26.16,1227,7080,75,0,0,0,59.0,0.850569492
finishing,10,0.75,2.9,0,960,0,0,0,0,8.0,0.763375
sweing,10,0.75,28.08,1083,7020,45,0,0,0,58.5,0.7504
finishing,11,0.8,3.94,0,2400,0,0,0,0,10.0,0.939513889
sweing,11,0.8,19.31,678,4800,50,0,0,0,55.0,0.800250962
sweing,12,0.8,11.61,1037,7200,50,0,0,0,32.0,0.800246011
finishing,1,0.8,3.94,0,1440,0,0,0,0,8.0,0.936496212
sweing,1,0.8,26.16,1187,10620,75,0,0,0,59.0,0.850502311
finishing,2,0.8,3.94,0,1440,0,0,0,0,8.0,0.805909091
sweing,2,0.8,28.08,716,10350,50,0,0,0,57.5,0.800594466
finishing,3,0.75,4.15,0,1800,0,0,0,0,10.0,0.899166667
sweing,3,0.8,19.87,963,9900,50,0,0,0,55.0,0.800273829
finishing,4,0.8,3.94,0,4440,0,0,0,0,18.0,0.966781346
sweing,4,0.8,28.08,925,10350,50,0,0,0,57.5,0.800594466
sweing,5,0.65,21.98,808,10440,35,0,0,0,58.0,0.649983281
sweing,6,0.8,11.61,910,4470,38,0,0,0,31.5,0.80007657
finishing,7,0.8,2.9,0,1440,0,0,0,0,8.0,0.61625
sweing,7,0.8,25.9,1035,10170,38,0,0,0,56.5,0.800128721
finishing,8,0.8,2.9,0,1440,0,0,0,0,8.0,0.681060606
sweing,8,0.8,25.9,1083,10170,38,0,0,0,56.5,0.800128721
finishing,9,0.8,3.94,0,1440,0,0,0,0,8.0,0.858143939
sweing,9,0.8,26.16,1305,10620,75,0,0,0,59.0,0.850502311
finishing,10,0.75,3.94,0,1440,0,0,0,0,8.0,0.809640152
sweing,10,0.75,28.08,1209,10530,45,0,0,0,58.5,0.750545455
finishing,11,0.8,4.15,0,2700,0,0,0,0,15.0,0.888686869
sweing,11,0.75,19.31,590,9900,45,0,0,0,55.0,0.750057851
sweing,12,0.8,11.61,1101,5310,50,0,0,0,31.5,0.800140969
finishing,1,0.8,3.94,0,1440,0,0,0,0,8.0,0.951420455
sweing,1,0.8,26.16,1179,10620,75,0,0,0,59.0,0.850502311
finishing,2,0.8,3.94,0,1440,0,0,0,0,8.0,0.813371212
sweing,2,0.8,28.08,776,10350,63,0,0,0,57.5,0.800594466
finishing,3,0.75,4.15,0,2700,0,0,0,0,15.0,0.83
sweing,3,0.8,19.87,924,9900,50,0,0,0,55.0,0.800273829
finishing,4,0.8,3.94,0,4440,0,0,0,0,18.0,0.827186544
sweing,4,0.8,28.08,990,10350,50,0,0,0,57.5,0.800594466
finishing,5,0.7,4.15,0,1440,0,0,0,0,8.0,0.330113636
sweing,5,0.7,21.98,413,9720,40,0,0,0,58.0,0.700480831
finishing,6,0.8,2.9,0,1800,0,0,0,0,10.0,0.666515152
sweing,6,0.8,11.41,986,5490,50,0,0,0,30.5,0.800343766
